,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,pred_salse
0,272371,415,7,01/03/2015,0,0,0,0,0,0.0
1,558468,27,7,29/12/2013,0,0,0,0,0,0.0
2,76950,404,3,19/03/2014,657,1,1,0,0,5452.63
3,77556,683,2,29/01/2013,862,1,0,0,0,8425.23
4,456344,920,3,19/03/2014,591,1,1,0,0,6195.33
5,436466,758,4,26/06/2014,569,1,0,0,0,3769.32
6,646251,563,1,16/02/2015,321,1,1,0,0,3951.675
7,650464,930,6,22/11/2014,1367,1,0,0,0,7399.16
8,162710,756,4,04/06/2015,0,0,1,a,0,0.0
9,100327,49,2,13/01/2015,546,1,1,0,0,7695.72
10,374540,787,4,23/07/2015,968,1,0,0,1,8306.86
11,399143,782,4,19/09/2013,472,1,0,0,0,4759.915
12,44740,897,7,20/04/2014,0,0,0,0,0,0.0
13,674144,933,1,09/12/2013,965,1,0,0,0,7419.85
14,81595,218,2,07/04/2015,804,1,0,0,1,5767.723333333332
15,416724,554,3,09/10/2013,499,1,1,0,1,4185.206666666667
16,632687,362,1,12/08/2013,1337,1,1,0,1,12620.986904761905
17,351899,655,3,09/04/2014,560,1,0,0,0,5870.748166666666
18,515940,785,3,31/12/2014,461,1,0,0,1,4968.574
19,567411,690,3,19/03/2014,866,1,1,0,0,6334.89
20,274598,1103,7,15/02/2015,0,0,0,0,0,0.0
21,417880,431,1,02/06/2014,1367,1,1,0,0,15199.45
22,453710,127,2,24/09/2013,642,1,1,0,0,5052.384416666667
23,597622,579,5,29/03/2013,0,0,1,b,1,0.0
24,223346,248,6,03/08/2013,1139,1,0,0,0,7609.62
25,630018,962,6,11/01/2014,0,0,0,0,0,0.0
26,355860,224,2,26/03/2013,515,1,1,0,1,7939.46
27,360080,208,3,19/06/2013,355,1,1,0,1,2821.68
28,129544,401,1,30/03/2015,1063,1,1,0,0,11169.04
29,422545,503,7,29/09/2013,0,0,0,0,0,0.0
30,174199,221,4,05/03/2015,562,1,1,0,0,6768.955
31,118613,268,7,02/11/2014,0,0,0,0,0,0.0
32,60310,799,2,27/08/2013,927,1,1,0,1,10854.5475
33,328458,260,6,25/10/2014,894,1,0,0,0,6205.797833333334
34,200661,1041,2,10/03/2015,594,1,0,0,0,5482.816999999999
35,179581,350,2,18/06/2013,533,1,1,0,0,7639.056666666667
36,587612,286,7,05/04/2015,0,0,0,0,0,0.0
37,320169,620,2,04/06/2013,709,1,1,0,0,7808.15
38,37194,521,1,17/06/2013,484,1,1,0,0,5979.9025
39,685427,649,4,27/11/2014,435,1,1,0,0,4233.20980952381
40,125422,1059,2,02/06/2015,1239,1,1,0,0,9801.45
41,24499,486,6,28/06/2014,373,1,0,0,0,3006.8126666666662
42,281806,252,4,17/10/2013,642,1,0,0,0,7319.236
43,540511,656,3,15/05/2013,421,1,1,0,0,3824.07
44,28689,642,5,12/09/2014,394,1,0,0,0,2701.895
45,165066,655,5,08/05/2015,761,1,1,0,0,9593.17
46,555963,992,3,26/06/2013,627,1,0,0,0,5360.768
47,610614,143,2,02/06/2015,731,1,1,0,0,8765.16
48,64013,421,5,18/07/2014,941,1,1,0,1,9618.947666666667
49,30639,246,4,02/10/2014,1157,1,1,0,0,9597.827333333335
50,418604,960,1,28/04/2014,720,1,1,0,0,8886.57
51,468037,313,5,17/01/2014,697,1,0,0,0,6257.988333333334
52,271589,291,6,29/06/2013,534,1,0,0,0,5261.496666666668
53,77924,924,6,31/05/2014,333,1,0,0,0,3189.6745
54,247149,337,2,13/08/2013,430,1,1,0,1,5782.398
55,576822,1024,4,12/03/2015,607,1,0,0,0,4167.04
56,108538,56,3,22/01/2014,402,1,1,0,0,5993.235333333333
57,645670,507,3,09/04/2014,532,1,0,0,0,5644.901666666667
58,601663,970,5,15/03/2013,406,1,0,0,0,2917.284238095239
59,502588,846,2,23/06/2015,828,1,0,0,0,7964.93
60,66732,549,3,27/08/2014,582,1,0,0,0,4543.105
61,627113,1095,4,28/03/2013,852,1,1,0,1,7157.456666666666
62,691184,859,5,12/04/2013,709,1,1,0,0,7414.293333333331
63,467913,914,2,29/07/2014,1178,1,1,0,1,11360.15
64,304890,888,2,23/06/2015,634,1,0,0,0,6313.77
65,274018,442,2,04/11/2014,517,1,1,0,0,5324.115
66,644430,34,6,09/03/2013,905,1,0,0,0,7232.43
67,669009,199,4,10/07/2014,581,1,0,0,0,7054.0
68,518722,854,4,04/06/2015,657,1,1,a,0,6798.09
69,505976,611,2,21/01/2014,485,1,1,0,0,5831.858146825398
70,291572,808,4,09/04/2015,528,1,0,0,1,5894.867166666666
71,39071,1105,4,22/01/2015,410,1,0,0,0,3339.72
72,319154,866,5,24/04/2015,445,1,0,0,0,6197.410833333333
73,166603,222,6,28/09/2013,367,1,0,0,0,3110.5994761904767
74,428262,476,2,24/09/2013,753,1,1,0,0,7116.3566666666675
75,20314,800,1,26/05/2014,494,1,0,0,0,5220.34
76,603091,330,1,24/03/2014,408,1,0,0,0,3783.4883333333332
77,500421,507,3,07/01/2015,648,1,1,0,0,8152.206166666665
78,388016,98,7,02/06/2013,0,0,0,0,0,0.0
79,268257,1026,2,28/01/2014,1044,1,0,0,0,7597.62
80,216326,990,5,04/10/2013,719,1,0,0,0,7815.85
81,40755,8,6,10/01/2015,345,1,0,0,0,2885.77
82,8654,611,3,31/07/2013,566,1,1,0,1,6975.97
83,37301,257,2,13/08/2013,777,1,1,0,0,7362.36
84,485623,840,4,16/04/2015,1189,1,1,0,0,8621.435
85,214073,848,5,31/07/2015,998,1,1,0,1,10506.55
